Count,2010,2011,2012,2013,2014
1,0:03:00,0:00:00,1:15:00,0:00:00,0:00:00
2,0:09:00,0:08:00,2:42:00,0:00:00,1:25:00
3,0:52:00,0:19:00,5:19:00,0:16:00,4:32:00
4,2:06:00,0:20:00,6:52:00,0:20:00,6:53:00
5,4:48:00,0:33:00,7:29:00,3:21:00,7:11:00
6,6:54:00,0:34:00,7:33:00,5:29:00,7:18:00
7,7:23:00,0:49:00,7:35:00,5:44:00,7:24:00
8,8:15:00,1:46:00,8:10:00,6:12:00,7:30:00
9,9:02:00,1:53:00,8:11:00,6:54:00,7:38:00
10,9:13:00,2:30:00,8:31:00,7:28:00,7:39:00
11,9:17:00,3:22:00,8:59:00,7:40:00,7:44:00
12,9:32:00,7:40:00,9:00:00,7:47:00,7:46:00
13,9:33:00,8:18:00,9:02:00,8:27:00,7:53:00
14,9:37:00,8:41:00,9:06:00,8:42:00,7:53:00
15,10:06:00,8:42:00,9:11:00,9:24:00,8:11:00
16,10:21:00,8:47:00,9:12:00,9:45:00,8:18:00
17,10:41:00,8:59:00,9:14:00,9:48:00,8:22:00
18,11:00:00,9:10:00,9:23:00,10:04:00,8:22:00
19,11:23:00,9:28:00,9:30:00,10:15:00,8:49:00
20,11:35:00,9:32:00,9:38:00,10:31:00,8:51:00
21,11:45:00,9:33:00,9:42:00,11:00:00,8:57:00
22,12:25:00,9:39:00,9:53:00,11:03:00,9:01:00
23,12:46:00,9:41:00,10:08:00,11:11:00,9:05:00
24,12:53:00,9:54:00,10:20:00,11:25:00,9:12:00
25,12:57:00,10:07:00,10:21:00,11:33:00,9:15:00
26,13:05:00,10:15:00,10:37:00,11:35:00,9:17:00
27,13:29:00,10:20:00,10:56:00,11:52:00,9:22:00
28,13:35:00,10:27:00,11:13:00,12:00:00,9:32:00
29,13:40:00,10:47:00,11:33:00,12:12:00,9:48:00
30,13:46:00,10:48:00,11:34:00,12:17:00,9:57:00
31,13:53:00,10:50:00,11:36:00,12:52:00,10:26:00
32,13:54:00,11:01:00,11:40:00,13:10:00,10:44:00
33,13:55:00,11:03:00,12:30:00,13:49:00,10:55:00
34,14:04:00,11:25:00,12:38:00,14:02:00,11:00:00
35,14:27:00,11:28:00,12:43:00,14:20:00,11:08:00
36,14:58:00,11:34:00,12:45:00,14:20:00,11:16:00
37,15:03:00,11:35:00,12:48:00,14:24:00,11:37:00
38,15:06:00,11:40:00,13:09:00,14:28:00,11:58:00
39,15:10:00,11:41:00,13:15:00,14:52:00,12:00:00
40,16:03:00,12:13:00,13:22:00,14:57:00,12:01:00
41,16:05:00,12:29:00,13:26:00,15:50:00,13:15:00
42,16:05:00,12:34:00,13:29:00,16:00:00,13:17:00
43,16:16:00,12:50:00,13:33:00,16:25:00,13:17:00
44,16:17:00,12:52:00,13:34:00,16:27:00,13:26:00
45,16:30:00,12:57:00,13:39:00,16:31:00,13:28:00
46,16:53:00,13:01:00,13:43:00,16:39:00,14:02:00
47,16:55:00,13:11:00,13:48:00,16:41:00,14:04:00
48,18:15:00,13:14:00,13:56:00,16:43:00,14:52:00
49,19:07:00,13:18:00,14:07:00,17:01:00,15:31:00
50,19:32:00,13:19:00,14:19:00,18:02:00,15:47:00
51,20:07:00,13:28:00,15:03:00,18:18:00,15:48:00
52,20:26:00,13:28:00,15:46:00,18:19:00,16:22:00
53,20:38:00,13:54:00,15:57:00,18:44:00,16:46:00
54,21:22:00,13:56:00,16:04:00,18:53:00,17:05:00
55,21:24:00,14:06:00,16:38:00,19:02:00,17:07:00
56,22:03:00,14:11:00,16:38:00,19:04:00,17:11:00
57,22:14:00,14:27:00,16:54:00,19:27:00,17:30:00
58,23:39:00,15:02:00,16:55:00,19:40:00,17:43:00
59,23:41:00,15:04:00,17:33:00,20:04:00,18:25:00
60,23:49:00,15:09:00,17:41:00,20:45:00,19:15:00
61,,15:10:00,17:46:00,20:57:00,19:39:00
62,,15:20:00,18:21:00,20:59:00,21:23:00
63,,15:24:00,18:40:00,21:17:00,21:33:00
64,,15:30:00,18:43:00,21:22:00,21:34:00
65,,15:47:00,18:51:00,21:36:00,21:40:00
66,,15:52:00,18:53:00,21:56:00,22:14:00
67,,15:58:00,18:58:00,23:15:00,23:06:00
68,,16:18:00,19:01:00,23:18:00,
69,,17:06:00,19:09:00,23:22:00,
70,,18:12:00,19:49:00,23:37:00,
71,,18:38:00,19:49:00,23:49:00,
72,,18:40:00,19:59:00,23:51:00,
73,,18:43:00,20:07:00,23:59:00,
74,,19:04:00,20:17:00,23:59:00,
75,,19:12:00,20:20:00,23:59:00,
76,,19:13:00,20:56:00,23:59:00,
77,,19:26:00,20:58:00,23:59:00,
78,,19:29:00,21:15:00,,
79,,19:45:00,21:34:00,,
80,,19:55:00,22:02:00,,
81,,20:36:00,22:08:00,,
82,,23:15:00,22:21:00,,
83,,23:25:00,22:22:00,,
84,,23:26:00,22:23:00,,
85,,23:27:00,22:38:00,,
86,,23:59:00,22:48:00,,
87,,,22:50:00,,
88,,,23:22:00,,
89,,,23:59:00,,